author,viewcount,num,av,max_viewcount,fans
384750800,1047980,7,40708222,591428,
14099082,1047796,13,39289415,246815,
212974687,1047458,23,38654004,242090,
386250868,1047169,2,36207996,1004125,
11583865,1046251,2,45693860,879336,
202197144,1046147,1,38615719,1046147,
79061224,1044896,1,50166682,1044896,
17780162,1044752,28,43947161,128071,
159601452,1041117,24,35721866,319680,
300671491,1040081,12,49614479,196562,
346794495,1038976,40,39542385,121593,
107301912,1038493,91,38319713,770766,
348953155,1036012,7,46279932,343165,
64291978,1034615,11,38341805,689260,
413634752,1022268,57,48778492,227237,
376137885,1021643,34,44915743,357295,
382468138,1016176,61,35094930,603269,
263503767,1014935,10,51471345,411437,
82667767,1013383,13,42824306,697523,
161841869,1013182,37,46067506,438290,
33726867,1011826,2,49196138,822666,
161873297,1002114,13,40390669,332897,
40328494,1001484,26,46449425,293972,
383529981,999465,11,38488340,612949,
25238887,997904,17,42174324,284369,
1536332,997254,29,43826972,69519,
357192435,995299,43,37810603,312092,
262796464,992373,55,38243644,143726,
333202258,988293,43,40472646,104521,
303037904,985655,2,36743820,730246,
37072306,985279,2,37179538,660316,
197578309,981260,1,49282849,981260,
94516635,980901,1,38148251,980901,
265371416,980437,10,51377701,790162,
2916169,979436,102,37285527,106739,
308536389,979085,5,40806372,570168,
22137788,973821,27,42266304,390603,
123949593,972972,74,43327570,312648,
99052854,972746,80,35315424,156068,
18087835,972638,3,35554652,971170,
22320797,971254,13,51101548,417988,
7497854,968139,8,44369948,538956,
367497921,967728,148,36133770,375504,
17138391,967087,4,45321547,440218,
345645481,962800,47,40266656,457666,
66845123,953662,46,39714257,565658,
203438666,951264,25,40307631,150307,
1346332,951129,41,50517391,237089,
393283501,950493,22,49927271,526898,
295308134,948659,43,37473813,196208,
305567273,947640,15,35628561,374082,
19707867,947335,5,44857217,489339,
6075545,943766,77,40858506,50896,
20181331,940669,14,44221884,541923,
301195144,940227,3,50541200,411738,
33726981,939436,15,42907360,206741,
