author,viewcount,num,av,max_viewcount,fans,tot_num
382616673,1084157,190,35790905,46557,6016,
31086256,1082502,8,36191648,872609,1434,
336095269,1076531,6,39892304,1056267,842,
20423027,1074864,5,50392025,903393,434177,
20578873,1073940,4,38489120,970185,1615,
11401042,1072637,73,48748467,179750,1847,
403033613,1069680,79,44873341,130507,1436,
29541631,1063467,7,41107358,978712,350,
378883148,1063241,61,44052747,87071,1966,
21677020,1062816,19,50324669,142936,121495,
393864168,1061662,8,40530515,577177,474,
403806792,1060710,374,48678713,233517,1753,
34994,1057100,1,35338659,1057100,524,
162967534,1052309,1,37103138,1052309,1112,
380509731,1051155,3,50828511,551869,1245,
343450208,1050759,5,51935620,886117,49228,
400567982,1050192,26,44610546,434288,669,
384750800,1047980,7,40708222,591428,4075,
14099082,1047796,13,39289415,246815,6907,
212974687,1047458,23,38654004,242090,5810,
386250868,1047169,2,36207996,1004125,725,
11583865,1046251,2,45693860,879336,41246,
202197144,1046147,1,38615719,1046147,495,
79061224,1044896,1,50166682,1044896,1783478,
17780162,1044752,28,43947161,128071,4520,
159601452,1041117,24,35721866,319680,19465,
300671491,1040081,12,49614479,196562,233963,
346794495,1038976,40,39542385,121593,12269,
107301912,1038493,91,38319713,770766,591,
348953155,1036012,7,46279932,343165,36815,
64291978,1034615,11,38341805,689260,4424,
413634752,1022268,57,48778492,227237,223,
376137885,1021643,34,44915743,357295,356,
382468138,1016176,61,35094930,603269,608,
263503767,1014935,10,51471345,411437,391,
82667767,1013383,13,42824306,697523,9409,
161841869,1013182,37,46067506,438290,760,
33726867,1011826,2,49196138,822666,180558,
161873297,1002114,13,40390669,332897,354,
40328494,1001484,26,46449425,293972,74664,
383529981,999465,11,38488340,612949,204,
25238887,997904,17,42174324,284369,288,
1536332,997254,29,43826972,69519,51652,
357192435,995299,43,37810603,312092,336,
262796464,992373,55,38243644,143726,485,
333202258,988293,43,40472646,104521,19012,
303037904,985655,2,36743820,730246,4394,
37072306,985279,2,37179538,660316,2428,
197578309,981260,1,49282849,981260,138044,
94516635,980901,1,38148251,980901,453,
265371416,980437,10,51377701,790162,2944,
2916169,979436,102,37285527,106739,23674,
308536389,979085,5,40806372,570168,15026,
22137788,973821,27,42266304,390603,6572,
123949593,972972,74,43327570,312648,1952,
99052854,972746,80,35315424,156068,1909,
18087835,972638,3,35554652,971170,2060,
22320797,971254,13,51101548,417988,708,
7497854,968139,8,44369948,538956,92802,
367497921,967728,148,36133770,375504,578,
17138391,967087,4,45321547,440218,30262,
345645481,962800,47,40266656,457666,305,
66845123,953662,46,39714257,565658,350,
203438666,951264,25,40307631,150307,52040,
1346332,951129,41,50517391,237089,5373,
393283501,950493,22,49927271,526898,1395,
295308134,948659,43,37473813,196208,508,
305567273,947640,15,35628561,374082,2878,
19707867,947335,5,44857217,489339,274,
6075545,943766,77,40858506,50896,32863,
20181331,940669,14,44221884,541923,946,
301195144,940227,3,50541200,411738,2229,
33726981,939436,15,42907360,206741,5948,
142458006,938937,5,35282076,877443,671,
283834289,938902,23,49751914,68944,60582,
7668570,938606,44,46389331,282150,165511,
393086992,936998,174,43655385,246565,126,
27695113,936048,1,51750982,936048,350,
227497208,935037,23,37126223,150943,2044,
393082885,933577,12,40481186,151212,33662,
402874478,931555,17,50908615,434585,5200,
95667399,931343,8,44031918,557114,13617,
398041952,930696,64,43725669,224976,309,
85738972,929041,3,37786685,552967,106508,
392503631,925505,134,40801786,272848,131,
386767602,923628,28,47262242,463844,250,
